"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Jump","PHB'24","290","1st","Bonus","1 minute","Transmutation","Touch","V, S, M (a grasshopper's hind leg)","Artificer (EFA), Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement.","Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Kinetic Jaunt","SCC","37","2nd","Bonus","Concentration, up to 1 minute","Transmutation","Self","S","Artificer (TCE), Artificer (EFA), Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You magically empower your movement with dance-like steps, giving yourself the following benefits for the duration.

Your walking speed increases by 10 feet.You don't provoke opportunity attacks.You can move through the space of another creature, and it doesn't count as difficult terrain. If you end your turn in another creature's space, you are shunted to the last unoccupied space you occupied, and you take 1d8 force damage.",""
"Knock","PHB'24","290","2nd","Action","Instantaneous","Transmutation","60 feet","V","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access.

A target that is held shut by a mundane lock or that is stuck or barred becomes unlocked, unstuck, or unbarred. If the object has multiple locks, only one of them is unlocked.

If the target is held shut by Arcane Lock, that spell is suppressed for 10 minutes, during which time the target can be opened and closed.

When you cast the spell, a loud knock, audible up to 300 feet away, emanates from the target.",""
"Laeral's Silver Lance","FRHoF","145","3rd","Action","Instantaneous","Evocation","Self","V, S, M (a silver pin worth 250+ GP)","Cleric (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","Silver energy bursts out from you in a 120-foot-long, 5-foot-wide Line. Each creature of your choice in the Line makes a Strength saving throw. On a failed save, a creature takes 3d10 Force damage and has the Prone condition. On a successful save, a creature takes half as much damage only.","Using a Higher-Level Spell Slot. The damage increases by 1d10 for every spell slot level above 3."
"Levitate","PHB'24","291","2nd","Action","Concentration, up to 10 minutes","Transmutation","60 feet","V, S, M (a metal spring)","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","One creature or loose object of your choice that you can see within range rises vertically up to 20 feet and remains suspended there for the duration. The spell can levitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaffected.

The target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which allows it to move as if it were climbing. You can change the target's altitude by up to 20 feet in either direction on your turn. If you are the target, you can move up or down as part of your move. Otherwise, you can take a Magic action to move the target, which must remain within the spell's range.

When the spell ends, the target floats gently to the ground if it is still aloft.",""
"Light","PHB'24","292","Cantrip","Action","1 hour","Evocation","Touch","V, M (a firefly or phosphorescent moss)","Artificer (EFA), Bard (PHB'24), Cleric (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Celestial (PHB'24) Warlock, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Light (PHB'14) Cleric, Celestial (XGE) Warlock","You touch one Large or smaller object that isn't being worn or carried by someone else. Until the spell ends, the object sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The light can be colored as you like.

Covering the object with something opaque blocks the light. The spell ends if you cast it again.",""
"Lightning Bolt","PHB'24","292","3rd","Action","Instantaneous","Evocation","Self","V, S, M (a bit of fur and a crystal rod)","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Armorer (TCE) Artificer, Armorer (EFA) Artificer, Land (Temperate Land) (PHB'24) Druid, Land (Mountain) (PHB'14) Druid, Sea (PHB'24) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Reanimator (RHW) Artificer, Fathomless (TCE) Warlock, Fathomless (TCE) Warlock","A stroke of lightning forming a 100-foot-long, 5-foot-wide Line blasts out from you in a direction you choose. Each creature in the Line makes a Dexterity saving throw, taking 8d6 Lightning damage on a failed save or half as much damage on a successful one.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3."
"Lightning Lure","TCE","107","Cantrip","Action","Instantaneous","Evocation","Self","V","Artificer (TCE), Artificer (EFA), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create a lash of lightning energy that strikes at one creature of your choice that you can see within 15 feet of you. The target must succeed on a Strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you.

This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",""
"Mage Armor","PHB'24","293","1st","Action","8 hours","Abjuration","Touch","V, S, M (a piece of cured leather)","Sorcerer (PHB'24), Wizard (PHB'24)","","Abjurer (PHB'24) Wizard, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch a willing creature who isn't wearing armor. Until the spell ends, the target's base AC becomes 13 plus its Dexterity modifier. The spell ends early if the target dons armor.",""
"Mage Hand","PHB'24","293","Cantrip","Action","1 minute","Conjuration","30 feet","V, S","Artificer (EFA), Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Sinner (TCM'24) Rogue, Sinner (TCM'14) Rogue, Sinner (TCM'14) Rogue, Swarmkeeper (TCE) Ranger, Swarmkeeper (TCE) Ranger","A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.

When you cast the spell, you can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial.

As a Magic action on your later turns, you can control the hand thus again. As part of that action, you can move the hand up to 30 feet.

The hand can't attack, activate magic items, or carry more than 10 pounds.",""
"Magic Missile","PHB'24","295","1st","Action","Instantaneous","Evocation","120 feet","V, S","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Armorer (TCE) Artificer, Armorer (EFA) Artificer, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create three glowing darts of magical force. Each dart strikes a creature of your choice that you can see within range. A dart deals 1d4 + 1 Force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.","Using a Higher-Level Spell Slot. The spell creates one more dart for each spell slot level above 1."
"Magic Weapon","PHB'24","295","2nd","Bonus","1 hour","Transmutation","Touch","V, S","Artificer (EFA), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Forge (XGE) Cleric, Forge (XGE) Cleric, Glory (PHB'24) Paladin, Glory (TCE) Paladin, War (PHB'24) Cleric, War (PHB'14) Cleric, Zeal (PSA) (PSA) Cleric, Zeal (PSA) (PSA) Cleric","You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls. The spell ends early if you cast it again.","Using a Higher-Level Spell Slot. The bonus increases to +2 with a level 3-5 spell slot. The bonus increases to +3 with a level 6+ spell slot."
"Major Image","PHB'24","295","3rd","Action","Concentration, up to 10 minutes","Illusion","120 feet","V, S, M (a bit of fleece)","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard","You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 20-foot Cube. The image appears at a spot that you can see within range and lasts for the duration. It seems real, including sounds, smells, and temperature appropriate to the thing depicted, but it can't deal damage or cause conditions.

If you are within range of the illusion, you can take a Magic action to cause the image to move to any other spot within range. As the image changes location, you can alter its appearance so that its movements appear natural for the image. For example, if you create an image of a creature and move it, you can alter the image so that it appears to be walking. Similarly, you can cause the illusion to make different sounds at different times, even making it carry on a conversation, for example.

Physical interaction with the image reveals it to be an illusion, for things can pass through it. A creature that takes a Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and its other sensory qualities become faint to the creature.","Using a Higher-Level Spell Slot. The spell lasts until dispelled, without requiring Concentration, if cast with a level 4+ spell slot."
"Mass Polymorph","XGE","160","9th","Action","Concentration, up to 1 hour","Transmutation","120 feet","V, S, M (a caterpillar cocoon)","","Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You transform up to ten creatures of your choice that you can see within range. An unwilling target must succeed on a Wisdom saving throw to resist the transformation. An unwilling shapechanger automatically succeeds on the save.

Each target assumes a beast form of your choice, and you can choose the same form or different ones for each target. The new form can be any beast you have seen whose challenge rating is equal to or less than the target's (or half the target's level, if the target doesn't have a challenge rating). The target's game statistics, including mental ability scores, are replaced by the statistics of the chosen beast, but the target retains its hit points, alignment, and personality.

Each target gains a number of temporary hit points equal to the hit points of its new form. These temporary hit points can't be replaced by temporary hit points from another source. A target reverts to its normal form when it has no more temporary hit points or it dies. If the spell ends before then, the creature loses all its temporary hit points and reverts to its normal form.

The creature is limited in the actions it can perform by the nature of its new form. It can't speak, cast spells, or do anything else that requires hands or speech.

The target's gear melds into the new form. The target can't activate, use, wield, or otherwise benefit from any of its equipment.",""
"Mass Suggestion","PHB'24","296","6th","Action","24 hours","Enchantment","60 feet","V, M (a snake's tongue)","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You suggest a course of activity—described in no more than 25 words—to twelve or fewer creatures you can see within range that can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to any of the targets or their allies. For example, you could say, ""Walk to the village down that road, and help the villagers there harvest crops until sunset."" Or you could say, ""Now is not the time for violence. Drop your weapons, and dance! Stop in an hour.""

Each target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal damage to the target. Each Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for a target upon completing it.","Using a Higher-Level Spell Slot. The duration is longer with a spell slot of level 7 (10 days), 8 (30 days), or 9 (366 days)."
"Maximilian's Earthen Grasp","XGE","161","2nd","Action","Concentration, up to 1 minute","Transmutation","30 feet","V, S, M (a miniature hand sculpted from clay)","","Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You choose a 5-foot-square unoccupied space on the ground that you can see within range. A Medium hand made from compacted soil rises there and reaches for one creature you can see within 5 feet of it. The target must make a Strength saving throw. On a failed save, the target takes 2d6 bludgeoning damage and is restrained for the spell's duration.

As an action, you can cause the hand to crush the restrained target, which must make a Strength saving throw. The target takes 2d6 bludgeoning damage on a failed save, or half as much damage on a successful one.

To break out, the restrained target can use its action to make a Strength check against your spell save DC. On a success, the target escapes and is no longer restrained by the hand.

As an action, you can cause the hand to reach for a different creature or to move to a different unoccupied space within range. The hand releases a restrained target if you do either.",""
"Melf's Minute Meteors","XGE","161","3rd","Action","Concentration, up to 10 minutes","Evocation","Self","V, S, M (niter, sulfur, and pine tar formed into a bead)","","Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create six tiny meteors in your space. They float in the air and orbit you for the spell's duration. When you cast the spell—and as a bonus action on each of your turns thereafter—you can expend one or two of the meteors, sending them streaking toward a point or points you choose within 120 feet of you. Once a meteor reaches its destination or impacts against a solid surface, the meteor explodes. Each creature within 5 feet of the point where the meteor explodes must make a Dexterity saving throw. A creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of meteors created increases by two for each slot level above 3rd."
"Mending","PHB'24","297","Cantrip","1 Min.","Instantaneous","Transmutation","Touch","V, S, M (two lodestones)","Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (PHB'14) Druid, Lore (PHB'24) Bard, Moon (FRHoF) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.

This spell can physically repair a magic item, but it can't restore magic to such an object.",""
"Mental Prison","XGE","161","6th","Action","Concentration, up to 1 minute","Illusion","60 feet","S","","Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Illusionist (PHB'24) Wizard","You attempt to bind a creature within an illusory cell that only it perceives. One creature you can see within range must make an Intelligence saving throw. The target succeeds automatically if it is immune to being charmed. On a successful save, the target takes 5d10 psychic damage, and the spell ends. On a failed save, the target takes 5d10 psychic damage, and you make the area immediately around the target's space appear dangerous to it in some way. You might cause the target to perceive itself as being surrounded by fire, floating razors, or hideous maws filled with dripping teeth. Whatever form the illusion takes, the target can't see or hear anything beyond it and is restrained for the spell's duration. If the target is moved out of the illusion, makes a melee attack through it, or reaches any part of its body through it, the target takes 10d10 psychic damage, and the spell ends.",""
"Message","PHB'24","298","Cantrip","Action","1 round","Transmutation","120 feet","S, M (a copper wire)","Artificer (EFA), Bard (PHB'24), Druid (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (PHB'14) Druid, Lore (PHB'24) Bard, Moon (FRHoF) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","You point toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.

You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence; 1 foot of stone, metal, or wood; or a thin sheet of lead blocks the spell.",""
"Meteor Swarm","PHB'24","298","9th","Action","Instantaneous","Evocation","1 mile","V, S","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Evoker (PHB'24) Wizard","Blazing orbs of fire plummet to the ground at four different points you can see within range. Each creature in a 40-foot-radius Sphere centered on each of those points makes a Dexterity saving throw. A creature takes 20d6 Fire damage and 20d6 Bludgeoning damage on a failed save or half as much damage on a successful one. A creature in the area of more than one fiery Sphere is affected only once.

A nonmagical object that isn't being worn or carried also takes the damage if it's in the spell's area, and the object starts burning if it's flammable.",""
"Mind Sliver","PHB'24","298","Cantrip","Action","Instantaneous","Enchantment","60 feet","V","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Aberrant Mind (TCE) Sorcerer, Aberrant (PHB'24) Sorcerer, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You try to temporarily sliver the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 Psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.","Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
"Mind Spike","PHB'24","298","2nd","Action","Concentration, up to 1 hour","Divination","120 feet","S","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Cartographer (EFA) Artificer, Lore (PHB'24) Bard, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Knowledge (FRHoF) Cleric","You drive a spike of psionic energy into the mind of one creature you can see within range. The target makes a Wisdom saving throw, taking 3d8 Psychic damage on a failed save or half as much damage on a successful one. On a failed save, you also always know the target's location until the spell ends, but only while the two of you are on the same plane of existence. While you have this knowledge, the target can't become hidden from you, and if it has the Invisible condition, it gains no benefit from that condition against you.","Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2."
"Minor Illusion","PHB'24","298","Cantrip","Action","1 minute","Illusion","30 feet","S, M (a bit of fleece)","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Illusion (PHB'14) Wizard, Scion of the Three (FRHoF) Rogue, Sinner (TCM'24) Rogue, Sinner (TCM'14) Rogue, Sinner (TCM'14) Rogue, Shadow (PHB'24) Monk, Shadow (PHB'14) Monk","You create a sound or an image of an object within range that lasts for the duration. See the descriptions below for the effects of each. The illusion ends if you cast this spell again.

If a creature takes a Study action to examine the sound or image, the creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature.

Sound. If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else's voice, a lion's roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends.

Image. If you create an image of an object—such as a chair, muddy footprints, or a small chest—it must be no larger than a 5-foot Cube. The image can't create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an illusion, since things can pass through it.",""
"Mirror Image","PHB'24","299","2nd","Action","1 minute","Illusion","Self","V, S","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Armorer (TCE) Artificer, Armorer (EFA) Artificer, Land (Coast) (PHB'14) Druid, Glamour (PHB'24) Bard, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Noble Genies (FRHoF) Paladin, Trickery (PHB'14) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your actions, shifting position so it's impossible to track which image is real.

Each time a creature hits you with an attack roll during the spell's duration, roll a d6 for each of your remaining duplicates. If any of the d6s rolls a 3 or higher, one of the duplicates is hit instead of you, and the duplicate is destroyed. The duplicates otherwise ignore all other damage and effects. The spell ends when all three duplicates are destroyed.

A creature is unaffected by this spell if it has the Blinded condition, Blindsight, or Truesight.",""
"Mirrored Agony","TCM'24","130","5th","Reaction","Instantaneous","Abjuration","60 feet","V, S, M (a pin or needle)","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","","The triggering creature makes a Wisdom saving throw. On a failed save, it takes an amount of Psychic damage equal to the damage it dealt to your ally. On a successful save, it takes half as much damage.",""
"Mist of Mourning","TCM'24","130","3rd","Action","Concentration, up to 10 minutes","Enchantment","60 feet","V, S, M (a vial of tears)","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You summon a thin mist that saps joy and vigor in a 20-foot-radius Sphere centered on a point within range. Each creature in the mist when it appears, or when it moves into the mist for the first time on a turn or ends its turn there, must succeed on a Charisma saving throw or be filled with deep melancholy until the end of its next turn. An affected creature's Speed is halved, it has Disadvantage on attack rolls, and it subtracts 1d8 from all its damage rolls.",""
"Misty Step","PHB'24","299","2nd","Bonus","Instantaneous","Conjuration","Self","V","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Archfey (PHB'24) Warlock, Land (Temperate Land) (PHB'24) Druid, Land (Coast) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Feline Court (CBT) Warlock, Fey Wanderer (PHB'24) Ranger, Fey Wanderer (TCE) Ranger, Horizon Walker (XGE) Ranger, Horizon Walker (XGE) Ranger, Vengeance (PHB'24) Paladin, Vengeance (PHB'14) Paladin, Ancients (PHB'24) Paladin, Ancients (PHB'14) Paladin","Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space you can see.",""
"Mold Earth","XGE","162","Cantrip","Action","Instantaneous or 1 hour (see below)","Transmutation","30 feet","S","","Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (PHB'14) Druid, Lore (PHB'24) Bard, Moon (FRHoF) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:

If you target an area of loose earth, you can instantaneously excavate it, move it along the ground, and deposit it up to 5 feet away. This movement doesn't involve enough force to cause damage.You cause shapes, colors, or both to appear on the dirt or stone, spelling out words, creating images, or shaping patterns. The changes last for 1 hour.If the dirt or stone you target is on the ground, you cause it to become difficult terrain. Alternatively, you can cause the ground to become normal terrain if it is already difficult terrain. This change lasts for 1 hour.If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",""
"Move Earth","PHB'24","302","6th","Action","Concentration, up to 2 hours","Transmutation","120 feet","V, S, M (a miniature shovel)","Druid (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","Choose an area of terrain no larger than 40 feet on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration. You can raise or lower the area's elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can't exceed half the area's largest dimension. For example, if you affect a 40-foot square, you can create a pillar up to 20 feet high, raise or lower the square's elevation by up to 20 feet, dig a trench up to 20 feet deep, and so on. It takes 10 minutes for these changes to complete. Because the terrain's transformation occurs slowly, creatures in the area can't usually be trapped or injured by the ground's movement.

At the end of every 10 minutes you spend Concentrating on the spell, you can choose a new area of terrain to affect within range.

This spell can't manipulate natural stone or stone construction. Rocks and structures shift to accommodate the new terrain. If the way you shape the terrain would make a structure unstable, it might collapse.

Similarly, this spell doesn't directly affect plant growth. The moved earth carries any plants along with it.",""
"Murder of Crows","TCM'24","131","4th","Action","Instantaneous","Conjuration","Self","V, S, M (a crow feather)","Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You summon and unleash a murder of deadly crows. Each creature of your choice in a 30-foot Cone originating from you makes a Dexterity saving throw. On a failed save, the target takes 5d6 Force damage and has the Blinded condition. On a successful save, it takes half as much damage only. A Blinded creature repeats the save at the end of each of its turns, ending the effect on itself on a success. The effect also ends if the creature regains any Hit Points. The crows disperse and vanish after they strike.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 4."
"Mysterious Presence","TCM'24","131","Cantrip","Action","Concentration, up to 1 minute","Illusion","Touch","V, S","Bard (PHB'24), Druid (PHB'24), Sorcerer (PHB'24)","","","You touch a willing creature and shroud its presence. Until the spell ends, other creatures must subtract 1d4 from any Wisdom (Insight or Perception) checks made against the target.",""
